"GAMA.ID.number","Calcium.mgpL","Magnesium.mgpL","Potassium.mgpL","Sodium.mgpL","SO4.mgpl","Cl.mgpl","HCO3.mgpl","CO3.mgpl","Ca.meq","Mg.meq","K.meq","Na.meq","SO4.meq","Cl.meq","HCO3.meq","CO3.meq","Ca.pct","Mg.pct","K.Na.pct","Unit","Ca.Mg.pct","SO4.Clj.pct","HCO3.CO3.pct","sym","label","Cl.pct","SO4.pct"
"SIERRA-G-01",26.1,11,5.84,16.9,11.2,6.95,168,1,1.30239521,0.904605263,0.149360614,0.734782609,0.233187591,0.195995488,2.753646943,0.033333333,42.13311764,29.26441966,28.6024627,"G",71.3975373,13.34456716,86.65543284,1,1,6.0940775192683,7.25048964436074
"SIERRA-G-02",36.5,4.12,1.43,6.89,5.46,1.95,146,0,1.821357285,0.338815789,0.03657289,0.299565217,0.113678951,0.05499154,2.39305032,0,72.96194875,13.5726584,13.46539285,"G",86.53460715,6.584265145,93.41573485,1,1,2.14666406127736,4.43760110437733
"SIERRA-G-03",16.1,3.45,2.65,30.5,5.21,12.3,123,0,0.803393214,0.283717105,0.067774936,1.326086957,0.10847387,0.346869712,2.016062941,0,32.38219315,11.43572282,56.18208403,"G",43.81791597,18.42447119,81.57552881,1,1,14.0353158726368,4.38915528426806
"SIERRA-G-04",3.75,0.493,0.83,3.15,0.44,0.81,23,0,0.187125749,0.040542763,0.021227621,0.136956522,0.009160941,0.02284264,0.376987379,0,48.49668549,10.5073174,40.9959971,"G",59.0040029,7.825009308,92.17499069,1,1,5.58512100120746,2.23988838286303
"SIERRA-G-05",31,8.12,4.11,23.4,10.7,11.7,159,0,1.546906188,0.667763158,0.10511509,1.017391304,0.222777431,0.329949239,2.606130143,0,46.35375265,20.00982897,33.63641838,"G",66.36358162,17.4976804,82.5023196,1,1,10.4452103571812,7.05247006078841
"SIERRA-G-06",18,0.474,0.89,51.1,5.43,45.4,118,0,0.898203593,0.038980263,0.022762148,2.22173913,0.113054341,1.280315849,1.934109162,0,28.23043622,1.225145214,70.54441856,"G",29.45558144,41.87464571,58.12535429,1,1,38.477048647363,3.39759707094946
"SIERRA-G-07",24.9,5.81,3.19,14,2.59,5.08,140,0,1.24251497,0.477796053,0.081585678,0.608695652,0.05392463,0.143260011,2.294705786,0,51.5439688,19.82069063,28.63534057,"G",71.36465943,7.913054263,92.08694574,1,1,5.74904937423238,2.16400486216082
"SIERRA-G-08",25.1,3.84,2.84,28,3.57,63.6,57,0,1.25249501,0.315789474,0.072634271,1.217391304,0.074328545,1.79357022,0.93427307,0,43.81942421,11.04811819,45.1324576,"G",54.8675424,66.65896579,33.34103421,1,1,64.0064323535676,2.65253344108357
"SIERRA-G-09",4,0.592,1.05,3.25,0.43,0.38,27,0,0.199600798,0.048684211,0.02685422,0.141304348,0.008952738,0.0107163,0.442550402,0,47.92985402,11.69046979,40.37967619,"G",59.62032381,4.255346324,95.74465368,1,1,2.31844424371247,1.93690209135297
"SIERRA-G-10",12.8,3.73,2.24,4.17,1.32,0.92,73,0,0.638722555,0.306743421,0.057289003,0.181304348,0.027482823,0.025944726,1.19652516,0,53.9434588,25.90608547,20.15045573,"G",79.84954427,4.274365685,95.72563432,1,1,2.07565660790132,2.19870902331874
"SIERRA-G-11",11.1,3.88,1.66,5.58,0.2,0.82,72,0,0.553892216,0.319078947,0.042455243,0.242608696,0.004164064,0.023124647,1.180134404,0,47.8303477,27.55347804,24.61617426,"G",75.38382574,2.260078614,97.73992139,1,1,1.91520658439606,0.34487197969537
"SIERRA-G-12",32.8,7.46,2.63,9.64,6.83,1.79,160,0,1.636726547,0.613486842,0.067263427,0.419130435,0.14220279,0.050479413,2.622520898,0,59.80860229,22.4177891,17.77360861,"G",82.22639139,6.844344667,93.15565533,1,1,1.79310022008959,5.05124443595162
"SIERRA-G-13",12.4,3.7,3.01,9.92,1.65,2.52,74,0,0.618762475,0.304276316,0.076982097,0.431304348,0.034353529,0.07106599,1.212915915,0,43.23004021,21.2583631,35.51159669,"G",64.48840331,7.99641094,92.00358906,1,1,5.39058483654472,2.60582611329553
"SIERRA-G-14",9.09,1.02,1.5,6.12,0.4,0.47,52,0,0.453592814,0.083881579,0.038363171,0.266086957,0.008328128,0.013254371,0.852319292,0,53.87571011,9.963075886,36.16121401,"G",63.83878599,2.469671031,97.53032897,1,1,1.51668884724828,0.952982141216369
"SIERRA-G-15",1.91,0.044,0.82,173,42.9,89.9,231,17,0.095309381,0.003618421,0.020971867,7.52173913,0.893191755,2.535250987,3.786264547,0.566666667,1.247237454,0.047351375,98.70541117,"G",1.294588829,44.05960646,55.94039354,1,1,32.5810197702314,11.4785866872686
"SIERRA-G-16",6.76,0.523,0.72,2.33,2.6,1.41,27,0,0.337325349,0.043009868,0.018414322,0.101304348,0.054132834,0.039763113,0.442550402,0,67.45779956,8.601046701,23.94115374,"G",76.05884626,17.50332485,82.49667515,1,1,7.4123186920972,10.09100613713
"SIERRA-G-17",8.25,0.503,1.02,3.25,8.24,0.16,28,1,0.411676647,0.041365132,0.026086957,0.141304348,0.171559442,0.004512126,0.458941157,0.033333333,66.35311015,6.667138284,26.97975157,"G",73.02024843,26.34437145,73.65562855,1,1,0.675118218472383,25.669253217919
