Date,Q
4/10/1895,1939.7008
7/26/1896,1585.7408
10/1/1896,5776.6272
8/12/1898,3596.2336
3/6/1899,3624.5504
3/21/1900,1633.87936
4/22/1901,4559.0048
3/2/1902,6201.3792
3/1/1903,3114.848
6/1/04,1260.0976
3/11/05,2021.81952
3/29/06,2302.15584
3/15/07,3369.6992
1/13/08,4304.1536
4/16/09,2350.2944
6/18/10,4757.2224
9/1/11,3001.5808
2/28/12,2701.42272
3/28/13,3936.0352
3/19/14,2092.61152
6/4/15,3936.0352
3/29/16,3511.2832
3/13/17,3482.9664
4/16/18,3596.2336
5/11/19,2279.5024
3/6/20,3086.5312
5/6/21,2514.53184
3/17/22,2231.36384
4/16/23,1152.49376
5/13/24,7843.7536
2/13/25,2520.1952
2/27/26,1713.1664
11/17/26,2545.68032
5/2/28,4105.936
4/18/29,5097.024
10/23/29,3114.848
5/24/31,1042.05824
5/14/32,4474.0544
4/21/33,3482.9664
1/9/34,1039.22656
12/2/34,3624.5504
3/19/36,13592.064
4/27/37,8778.208
10/30/37,4955.44
2/5/39,3511.2832
4/21/40,2650.45248
4/7/41,1953.8592
5/24/42,3539.6
10/16/42,11836.4224
5/8/44,1990.67104
9/20/45,3936.0352
6/3/46,1503.62208
3/16/47,1192.13728
4/15/48,2463.5616
6/20/49,3737.8176
2/3/50,1832.09696
12/5/50,3624.5504
4/29/52,3596.2336
11/23/52,3341.3824
3/3/54,3086.5312
8/20/55,6059.7952
4/9/56,1721.66144
4/7/57,1959.52256
5/7/58,2038.8096
6/4/59,1577.24576
5/10/60,3511.2832
2/21/61,2888.3136
3/23/62,3284.7488
3/21/63,3539.6
3/6/64,2463.5616
3/6/65,2769.38304
2/15/66,2018.98784
3/8/67,4077.6192
3/18/68,2174.73024
3/27/69,787.20704
4/3/70,2607.97728
2/24/71,2446.57152
6/23/72,9825.9296
10/8/72,3001.5808
12/28/73,3737.8176
3/21/75,5125.3408
1/2/76,3086.5312
10/11/76,5465.1424
3/16/78,3936.0352
2/27/79,5040.3904
10/11/79,1968.0176
4/14/81,1186.47392
6/15/82,2605.1456
4/26/83,3256.432
2/16/84,5635.0432
2/13/85,2398.43296
11/7/85,8749.8912
4/18/87,4332.4704
5/20/88,2721.24448
5/17/89,2290.82912
5/31/90,1127.00864
3/25/91,2406.928
4/23/92,2548.512
3/6/93,4728.9056
11/29/93,3256.432
1/17/95,2469.22496
1/21/96,8778.208
12/3/96,2412.59136
3/22/98,3482.9664
3/20/99,1149.66208
2/20/00,1744.31488
3/23/01,1885.89888
4/24/02,1480.96864
9/21/03,4247.52
12/12/03,3341.3824
3/30/05,3284.7488
12/1/05,2069.95808
4/17/07,2718.4128
5/13/08,2718.4128
5/6/09,2831.68
3/15/10,4870.4896
4/18/11,4077.6192
12/9/11,2118.09664
10/31/12,3001.5808
5/17/14,4105.936
4/22/15,1480.96864
2/5/16,2491.8784
