"","Date","Q","C","DecYear","Month"
"1",1995-01-19,6.22970620110902,84.4,1995.05068493151,1
"2",1995-02-28,5.3802008100487,92,1995.1602739726,2
"3",1995-03-21,18.6324849105897,53.9,1995.21780821918,3
"4",1995-04-28,34.5465525697864,51.8,1995.32191780822,4
"5",1995-05-08,11.3833722402083,68,1995.34931506849,5
"6",1995-06-02,8.58000444970924,67,1995.41780821918,6
"7",1995-07-10,2.80336779049906,90,1995.52191780822,7
"8",1995-08-29,34.2633841060996,48.8,1995.65890410959,8
"9",1996-02-29,36.8119002792806,40,1996.16256830601,2
"10",1996-03-21,17.8112963658981,47,1996.21994535519,3
"11",1996-06-19,165.370382793076,20.3,1996.46584699454,6
"12",1997-04-16,25.1453595753855,80.8,1997.28904109589,4
"13",1997-05-06,24.4091215697999,61.2,1997.34383561644,5
"14",1997-06-11,8.21188544691643,72.8,1997.44246575342,6
"15",1997-07-08,17.7829795195294,45.9,1997.51643835616,7
"16",1997-08-14,8.66495498881527,81,1997.61780821918,8
"17",1997-10-16,3.45465525697864,94.5,1997.7904109589,10
"18",1997-11-17,4.27584380167028,112,1997.87808219178,11
"19",1997-12-09,4.7572301899378,123,1997.93835616438,12
"20",1998-01-20,6.22970620110902,90.7,1998.05342465753,1
"21",1998-02-18,46.7227965083176,63.8,1998.13287671233,2
"22",1998-03-12,13.4221851787531,88.4,1998.19315068493,3
"23",1998-04-15,32.8475417876657,57.1,1998.28630136986,4
"24",1998-05-13,18.1510985223222,55.4,1998.36301369863,5
"25",1998-06-09,5.72000296647283,81.8,1998.43698630137,6
"26",1998-07-14,3.56792264245335,79.7,1998.53287671233,7
"27",1998-08-10,19.7368419189681,42.6,1998.60684931507,8
"28",1998-09-17,3.96435849161483,98.6,1998.71095890411,9
"29",1998-10-15,8.60832129607792,76.8,1998.78767123288,10
"30",1998-11-19,7.02257789943198,65.9,1998.88356164384,11
"31",1998-12-09,6.65445889663918,79.3,1998.93835616438,12
"32",1999-01-15,3.96435849161483,170,1999.0397260274,1
"33",1999-02-18,22.7667444804166,51.7,1999.13287671233,2
"34",1999-03-10,8.3817865251285,291,1999.18767123288,3
"35",1999-04-06,18.0661479832162,73.9,1999.26164383562,4
"36",1999-05-11,19.5669408407561,54.1,1999.35753424658,5
"37",1999-06-08,16.9901078212064,52.5,1999.43424657534,6
"38",1999-07-07,6.08812196926563,78,1999.51369863014,7
"39",1999-08-10,10.0807973072491,65.3,1999.60684931507,8
"40",1999-09-07,3.82277425977144,89.3,1999.68356164384,9
"41",1999-10-13,4.78554703630647,79,1999.78219178082,10
"42",1999-11-10,4.5023785726197,92.4,1999.85890410959,11
"43",1999-12-14,7.33406320948743,68.5,1999.95205479452,12
"44",2000-01-11,5.3802008100487,125,2000.02868852459,1
"45",2000-02-08,5.3802008100487,133,2000.10519125683,2
"46",2000-03-14,10.0807973072491,74.7,2000.20081967213,3
"47",2000-04-11,12.6009966340614,150,2000.27732240437,4
"48",2000-05-08,10.0524804608805,80.7,2000.35109289617,5
"49",2000-06-12,20.8128820809779,62.7,2000.44672131148,6
"50",2000-07-31,6.73940943574521,92.5,2000.5806010929,7
"51",2000-09-04,11.2134711619962,72.8,2000.6762295082,9
"52",2000-10-10,6.45624097205844,80,2000.77459016393,10
"53",2000-11-06,5.77663665921018,80.8,2000.84836065574,11
"54",2000-12-08,4.2475269553016,137,2000.93579234973,12
"55",2001-01-10,6.79604312848257,105,2001.02602739726,1
