date,discharge_cms,tds_mgL
11/24/69,9.82594569,352
9/9/70,8.466737064,728
10/12/70,6.654458897,440
10/31/70,9.061390838,316
11/2/70,11.35505539,334
11/23/70,14.8380275,256
12/15/70,23.95605203,228
12/30/70,10.16574785,314
1/13/71,9.910896229,276
1/30/71,5.606735581,558
2/2/71,4.247526955,410
2/28/71,58.33270352,184
3/3/71,46.43962804,180
3/6/71,27.60892521,222
4/1/71,17.47149421,226
4/27/71,4.417428034,396
5/5/71,4.502378573,440
5/16/71,8.976440299,320
6/3/71,5.606735581,372
6/20/71,2.265347709,506
7/2/71,4.077625877,442
7/22/71,2.916635176,556
8/26/71,1.614060243,596
8/31/71,3.171486793,472
9/12/71,1.472476011,510
9/29/71,5.181982885,316
10/1/71,3.992675338,408
10/31/71,2.095446631,532
11/21/71,2.746734098,702
11/28/71,5.776636659,424
12/12/71,27.41070728,222
12/28/71,11.77980809,484
1/3/72,28.31684637,220
1/19/72,7.503964288,352
2/1/72,5.889904045,332
2/16/72,10.67545108,524
3/1/72,21.12436739,352
3/19/72,47.85547036,208
4/13/72,19.53862399,330
4/23/72,42.47526955,204
5/10/72,24.01268572,272
5/29/72,3.256437332,420
6/5/72,4.077625877,442
6/26/72,10.84535216,332
7/15/72,11.69485755,246
7/30/72,4.389111187,380
8/2/72,3.51128895,410
8/13/72,2.548516173,504
9/3/72,2.237030863,546
9/20/72,12.96911564,242
10/1/72,38.2277426,182
10/25/72,5.974854584,414
11/2/72,9.910896229,344
11/17/72,32.56437332,186
12/8/72,22.42694232,264
12/10/72,27.07090513,212
1/4/73,25.82496389,244
1/24/73,15.09287911,320
2/4/73,26.47625135,254
2/25/73,9.457826687,388
3/1/73,10.22238154,398
3/15/73,56.06735581,202
4/8/73,35.39605796,196
4/25/73,12.23287763,278
5/8/73,14.80971065,302
5/27/73,25.93823127,238
6/10/73,30.58219408,164
6/27/73,7.192478978,354
7/1/73,7.673865366,368
7/19/73,2.831684637,466
